SE2 0.5
1 1 0
1.04802 1.00703 0.0279424
1.10504 0.998504 0.000403809
1.16207 0.989979 -0.0271348
1.21909 0.981454 -0.0546734
1.27612 0.97293 -0.0822119
1.36883 1.03327 -0.0812251
1.46154 1.09361 -0.0802383
1.55425 1.15395 -0.0792515
1.64696 1.21429 -0.0782647
1.73967 1.27463 -0.0772779
1.83238 1.33497 -0.0762911
1.9251 1.39531 -0.0753043
2.01781 1.45565 -0.0743175
2.11052 1.51599 -0.0733307
2.11052 1.51599 -0.0733307
2.16295 1.51582 -0.0448569
2.21538 1.51564 -0.016383
2.2678 1.51546 0.0120909
2.32023 1.51528 0.0405647
2.37266 1.5151 0.0690386
2.42509 1.51492 0.0975124
2.47752 1.51474 0.125986
2.52995 1.51456 0.15446
2.58238 1.51438 0.182934
2.63481 1.5142 0.211408
2.68724 1.51402 0.239882
2.73967 1.51384 0.268356
2.7921 1.51366 0.296829
2.88987 1.49898 0.272342
2.98764 1.48431 0.247854
3.08542 1.46964 0.223367
3.18319 1.45497 0.198879
3.28096 1.4403 0.174392
3.37873 1.42562 0.149904
3.47651 1.41095 0.125417
3.57428 1.39628 0.100929
3.68857 1.40773 0.0806571
3.80286 1.41918 0.0603852
3.91716 1.43063 0.0401132
4.03145 1.44208 0.0198413
4.14574 1.45353 -0.000430557
4.26003 1.46498 -0.0207025
4.37432 1.47643 -0.0409744
4.48862 1.48788 -0.0612463
4.50158 1.55602 -0.0333047
4.51454 1.62416 -0.00536315
4.5275 1.69231 0.0225784
4.54046 1.76045 0.05052
4.55342 1.82859 0.0784615
4.56638 1.89673 0.106403
4.57935 1.96487 0.134345
4.59231 2.03301 0.162286
4.60527 2.10115 0.190228
4.61823 2.16929 0.218169
4.63119 2.23743 0.246111
4.64415 2.30557 0.274052
4.64415 2.30557 0.274052
4.73725 2.38453 0.268195
4.83035 2.46349 0.262338
4.92344 2.54245 0.256481
5.01654 2.62141 0.250624
5.10963 2.70037 0.244766
5.20273 2.77933 0.238909
5.29582 2.85829 0.233052
5.38892 2.93725 0.227195
5.48202 3.01621 0.221338
5.57511 3.09517 0.21548
5.66821 3.17413 0.209623
5.62063 3.15267 0.238577
5.57306 3.13121 0.267532
5.52549 3.10975 0.296486
5.47792 3.08829 0.32544
5.43034 3.06683 0.354394
5.38277 3.04537 0.383349
5.49267 3.03769 0.385243
5.60256 3.03002 0.387138
5.71246 3.02234 0.389032
5.82235 3.01467 0.390926
5.93225 3.00699 0.392821
6.04215 2.99931 0.394715
6.15204 2.99164 0.396609
6.26194 2.98396 0.398504
6.37183 2.97629 0.400398
6.39182 3.02059 0.372601
6.4118 3.0649 0.344803
6.43178 3.1092 0.317006
6.45176 3.15351 0.289209
6.47174 3.19781 0.261411
6.49172 3.24211 0.233614
6.5117 3.28642 0.205816
6.53168 3.33072 0.178019
6.55166 3.37503 0.150222
6.57164 3.41933 0.122424
6.59162 3.46363 0.0946267
6.61161 3.50794 0.0668292
6.64413 3.49418 0.0961902
6.67666 3.48041 0.125551
6.70919 3.46665 0.154912
6.74172 3.45289 0.184273
6.77425 3.43913 0.213634
6.80677 3.42537 0.242995
6.8393 3.4116 0.272356
6.87183 3.39784 0.301717
6.90436 3.38408 0.331078
6.93689 3.37032 0.360439
6.96941 3.35656 0.3898
7.00194 3.3428 0.419161
7.03447 3.32903 0.448522
7.067 3.31527 0.477883
7.09953 3.30151 0.507244
7.11589 3.30285 0.47757
7.13224 3.30418 0.447897
7.1486 3.30552 0.418224
7.16496 3.30686 0.38855
7.18132 3.3082 0.358877
7.19768 3.30953 0.329203
7.21404 3.31087 0.29953
7.2304 3.31221 0.269856
7.24676 3.31355 0.240183
7.26311 3.31488 0.21051
7.27947 3.31622 0.180836
7.29583 3.31756 0.151163
7.31219 3.3189 0.121489
7.32855 3.32023 0.0918159
7.34491 3.32157 0.0621425
7.36127 3.32291 0.032469
7.37762 3.32425 0.00279561
7.39398 3.32558 -0.0268778
7.41034 3.32692 -0.0565512
7.4267 3.32826 -0.0862247
7.44306 3.32959 -0.115898
7.45942 3.33093 -0.145572
7.47578 3.33227 -0.175245
7.53607 3.43779 -0.168313
7.55417 3.55378 -0.153084
7.57227 3.66976 -0.137855
7.59038 3.78574 -0.122626
7.60848 3.90172 -0.107396
7.62658 4.0177 -0.0921673
7.64468 4.13368 -0.0769382
7.71693 4.23317 -0.072837
7.78917 4.33265 -0.0687358
7.86142 4.43213 -0.0646346
7.93366 4.53162 -0.0605334
8.00591 4.6311 -0.0564322
8.07816 4.73059 -0.052331
8.1504 4.83007 -0.0482298
8.22265 4.92956 -0.0441286
8.29489 5.02904 -0.0400274
8.36714 5.12853 -0.0359262
8.43938 5.22801 -0.031825
8.51163 5.32749 -0.0277238
8.58387 5.42698 -0.0236225
8.65612 5.52646 -0.0195213
8.72836 5.62595 -0.0154201
8.80061 5.72543 -0.0113189
8.80061 5.72543 -0.0113189
